Youtuber,道歉日,YTR 類別,犯錯的類別,sub,g/b,前二後二情緒變化量
阿神,2020/03/09,電玩實況類,c,276.0,good,0.5814207650273222
阿滴英文,2020/04/28,知識教育類,a,269.0,good,0.149664978914596
Joeman,2021/04/28,生活類,d,219.0,good,-1.0530860412834662
木曜4超玩,2021/07/04,生活類,b,218.0,good,2.1818181818181817
木曜4超玩,2020/03/03,生活類,b,218.0,good,0.8285714285714287
黃氏兄弟,2020/06/03,生活類,c,185.0,good,-9.678030303030305
WACKYBOYS 反骨男孩,2020/06/09,搞笑類,b,156.0,good,-0.0306715063520871
滴妹,2021/11/14,生活類,d,142.0,good,2.0
放火 Louis,2020/10/24,搞笑類,c,124.0,bad,-0.038324012879173
愛莉莎莎 Alisasa,2020/04/09,生活類,a,117.0,bad,0.8004192872117402
愛莉莎莎 Alisasa,2021/02/15,生活類,a,117.0,bad,-0.4412043138977802
愛莉莎莎 Alisasa,2021/05/25,生活類,a,117.0,bad,-0.2414058934303938
鍾明軒,2020/11/07,生活類,a,106.0,good,-2.0987246376811592
蔡桃貴 蔡阿嘎二伯's Family,2019/12/23,生活類,b,96.9,good,-1.2490407285839766
蔡桃貴 蔡阿嘎二伯's Family,2020/10/31,生活類,,96.9,good,7.133333333333333
大蛇丸,2020/09/05,料理美食類,b,92.8,good,0.1022727272727272
上班不要看 NSFW,2020/03/03,搞笑類,b,87.2,good,-3.729371316306483
一隻阿圓 I am CIRCLE,2020/03/07,生活類,b,70.4,good,-2.032493610806864
Toyz,2021/07/15,電玩實況類,a,68.9,bad,-0.2772754671488848
呱吉,2021/10/01,生活類,a,60.4,bad,0.8749634823254454
"Stand up, Brian! 博恩站起來！",2020/07/18,搞笑類,b,50.5,bad,-1.3398148148148148
龍龍LungLung,2021/10/12,搞笑類,a,35.8,good,-0.0378098159986918
丹妮婊姐星球,2020/02/23,美妝穿搭類,b,35.5,good,-0.8500000000000001
丹妮婊姐星球,2021/07/06,美妝穿搭類,d,35.5,good,-1.5
heyitsmindy,2021/12/08,美妝穿搭類,d,18.3,bad,
綠眼鏡Punk,2020/06/09,生活類,b,12.1,bad,
NanaQ,2021/07/29,生活類,b,11.8,bad,-0.0916960104046323
統神大戲院,2021/12/02,電玩實況類,a,10.6,bad,-0.1007051428772646
統神大戲院,2021/07/22,電玩實況類,a,10.6,bad,-0.0586587928410984
鼻地大師國動-張葦航,2020/06/23,電玩實況類,a,22.4,bad,-0.1297487350999056
Dinter,2021/10/09,電玩實況類,b,75.7,bad,-0.0734201937655796
Jinnytty 企鵝妹 윰찌,2020/06/04,生活類,a,29.4,bad,0.191860465116279
大麻煩,2021/06/01,生活類,b,41.5,bad,-0.1605776972624799
見習網美小吳,2020/12/24,生活類,b,105.0,good,-3.7777777777777777
見習網美小吳,2021/09/13,生活類,b,105.0,good,-0.4761904761904761
許藍方博士 Dr. Gracie,2021/08/20,知識教育類,b,28.7,good,-0.7648703688710914
谷阿莫,2020/06/09,搞笑類,d,198.0,bad,-0.0785360274494852
